cnae_classe;regiao_administrativa;saldo
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Araçatuba;   -37
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Barretos;   -40
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Bauru;   -24
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Campinas;  -476
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Franca;   -56
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Itapeva;   -18
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Marília;   -47
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Presidente Prudente;   -33
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Região Administrativa Central;   -41
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Registro;    -3
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Ribeirão Preto;   -66
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Santos;  -179
Comércio varejista de artigos de uso doméstico não especificados anteriormente;São José do Rio Preto;   -39
Comércio varejista de artigos de uso doméstico não especificados anteriormente;São José dos Campos;  -145
Comércio varejista de artigos de uso doméstico não especificados anteriormente;São Paulo; -1222
Comércio varejista de artigos de uso doméstico não especificados anteriormente;Sorocaba;   -76
Comércio varejista de artigos do vestuário e acessórios;Araçatuba;  -386
Comércio varejista de artigos do vestuário e acessórios;Barretos;  -188
Comércio varejista de artigos do vestuário e acessórios;Bauru;  -677
Comércio varejista de artigos do vestuário e acessórios;Campinas; -4846
Comércio varejista de artigos do vestuário e acessórios;Franca;  -459
Comércio varejista de artigos do vestuário e acessórios;Itapeva;  -176
Comércio varejista de artigos do vestuário e acessórios;Marília;  -528
Comércio varejista de artigos do vestuário e acessórios;Presidente Prudente;  -334
Comércio varejista de artigos do vestuário e acessórios;Região Administrativa Central;  -587
Comércio varejista de artigos do vestuário e acessórios;Registro;   -55
Comércio varejista de artigos do vestuário e acessórios;Ribeirão Preto; -1042
Comércio varejista de artigos do vestuário e acessórios;Santos;  -948
Comércio varejista de artigos do vestuário e acessórios;São José do Rio Preto;  -950
Comércio varejista de artigos do vestuário e acessórios;São José dos Campos; -1325
Comércio varejista de artigos do vestuário e acessórios;São Paulo;-15069
Comércio varejista de artigos do vestuário e acessórios;Sorocaba; -1807
Comércio varejista de artigos médicos e ortopédicos;Araçatuba;    -5
Comércio varejista de artigos médicos e ortopédicos;Barretos;    -6
Comércio varejista de artigos médicos e ortopédicos;Bauru;    -4
Comércio varejista de artigos médicos e ortopédicos;Campinas;   -24
Comércio varejista de artigos médicos e ortopédicos;Franca;   -16
Comércio varejista de artigos médicos e ortopédicos;Itapeva;    -1
Comércio varejista de artigos médicos e ortopédicos;Marília;    -3
Comércio varejista de artigos médicos e ortopédicos;Presidente Prudente;     6
Comércio varejista de artigos médicos e ortopédicos;Região Administrativa Central;    -6
Comércio varejista de artigos médicos e ortopédicos;Ribeirão Preto;    -7
Comércio varejista de artigos médicos e ortopédicos;Santos;   -17
Comércio varejista de artigos médicos e ortopédicos;São José do Rio Preto;   -15
Comércio varejista de artigos médicos e ortopédicos;São José dos Campos;   -12
Comércio varejista de artigos médicos e ortopédicos;São Paulo;  -176
Comércio varejista de artigos médicos e ortopédicos;Sorocaba;     7
Comércio varejista de artigos recreativos e esportivos;Araçatuba;   -54
Comércio varejista de artigos recreativos e esportivos;Barretos;    -5
Comércio varejista de artigos recreativos e esportivos;Bauru;   -66
Comércio varejista de artigos recreativos e esportivos;Campinas;  -656
Comércio varejista de artigos recreativos e esportivos;Franca;   -49
Comércio varejista de artigos recreativos e esportivos;Itapeva;   -12
Comércio varejista de artigos recreativos e esportivos;Marília;   -31
Comércio varejista de artigos recreativos e esportivos;Presidente Prudente;   -57
Comércio varejista de artigos recreativos e esportivos;Região Administrativa Central;   -42
Comércio varejista de artigos recreativos e esportivos;Registro;    -8
Comércio varejista de artigos recreativos e esportivos;Ribeirão Preto;  -113
Comércio varejista de artigos recreativos e esportivos;Santos;  -121
Comércio varejista de artigos recreativos e esportivos;São José do Rio Preto;   -40
Comércio varejista de artigos recreativos e esportivos;São José dos Campos;  -117
Comércio varejista de artigos recreativos e esportivos;São Paulo; -2508
Comércio varejista de artigos recreativos e esportivos;Sorocaba;   -92
Comércio varejista de artigos usados;Araçatuba;    -1
Comércio varejista de artigos usados;Barretos;     1
Comércio varejista de artigos usados;Bauru;    -2
Comércio varejista de artigos usados;Campinas;   -31
Comércio varejista de artigos usados;Franca;    -1
Comércio varejista de artigos usados;Itapeva;     3
Comércio varejista de artigos usados;Marília;     2
Comércio varejista de artigos usados;Presidente Prudente;    -1
Comércio varejista de artigos usados;Região Administrativa Central;    -4
Comércio varejista de artigos usados;Registro;     1
Comércio varejista de artigos usados;Ribeirão Preto;    -5
Comércio varejista de artigos usados;Santos;     0
Comércio varejista de artigos usados;São José do Rio Preto;    -4
Comércio varejista de artigos usados;São José dos Campos;    -5
Comércio varejista de artigos usados;São Paulo;   -61
Comércio varejista de artigos usados;Sorocaba;     2
Comércio varejista de bebidas;Araçatuba;    -3
Comércio varejista de bebidas;Barretos;   -42
Comércio varejista de bebidas;Bauru;   -32
Comércio varejista de bebidas;Campinas;  -154
Comércio varejista de bebidas;Franca;   -16
Comércio varejista de bebidas;Itapeva;    -8
Comércio varejista de bebidas;Marília;    -1
Comércio varejista de bebidas;Presidente Prudente;   -27
Comércio varejista de bebidas;Região Administrativa Central;   -42
Comércio varejista de bebidas;Registro;     2
Comércio varejista de bebidas;Ribeirão Preto;    -1
Comércio varejista de bebidas;Santos;    -7
Comércio varejista de bebidas;São José do Rio Preto;   -19
Comércio varejista de bebidas;São José dos Campos;   -98
Comércio varejista de bebidas;São Paulo;  -499
Comércio varejista de bebidas;Sorocaba;   -61
Comércio varejista de calçados e artigos de viagem;Araçatuba;   -92
Comércio varejista de calçados e artigos de viagem;Barretos;   -32
Comércio varejista de calçados e artigos de viagem;Bauru;  -312
Comércio varejista de calçados e artigos de viagem;Campinas; -1508
Comércio varejista de calçados e artigos de viagem;Franca;  -151
Comércio varejista de calçados e artigos de viagem;Itapeva;   -77
Comércio varejista de calçados e artigos de viagem;Marília;  -136
Comércio varejista de calçados e artigos de viagem;Presidente Prudente;  -153
Comércio varejista de calçados e artigos de viagem;Região Administrativa Central;  -243
Comércio varejista de calçados e artigos de viagem;Registro;   -23
Comércio varejista de calçados e artigos de viagem;Ribeirão Preto;  -328
Comércio varejista de calçados e artigos de viagem;Santos;  -380
Comércio varejista de calçados e artigos de viagem;São José do Rio Preto;  -262
Comércio varejista de calçados e artigos de viagem;São José dos Campos;  -737
Comércio varejista de calçados e artigos de viagem;São Paulo; -4889
Comércio varejista de calçados e artigos de viagem;Sorocaba;  -638
Comércio varejista de carnes e pescados - açougues e peixarias;Araçatuba;   -23
Comércio varejista de carnes e pescados - açougues e peixarias;Barretos;   -12
Comércio varejista de carnes e pescados - açougues e peixarias;Bauru;    14
Comércio varejista de carnes e pescados - açougues e peixarias;Campinas;  -137
Comércio varejista de carnes e pescados - açougues e peixarias;Franca;   -22
Comércio varejista de carnes e pescados - açougues e peixarias;Itapeva;   -24
Comércio varejista de carnes e pescados - açougues e peixarias;Marília;   -27
Comércio varejista de carnes e pescados - açougues e peixarias;Presidente Prudente;   -17
Comércio varejista de carnes e pescados - açougues e peixarias;Região Administrativa Central;   -34
Comércio varejista de carnes e pescados - açougues e peixarias;Registro;    -5
Comércio varejista de carnes e pescados - açougues e peixarias;Ribeirão Preto;     1
Comércio varejista de carnes e pescados - açougues e peixarias;Santos;   -44
Comércio varejista de carnes e pescados - açougues e peixarias;São José do Rio Preto;   -73
Comércio varejista de carnes e pescados - açougues e peixarias;São José dos Campos;   -77
Comércio varejista de carnes e pescados - açougues e peixarias;São Paulo;  -580
Comércio varejista de carnes e pescados - açougues e peixarias;Sorocaba;   -44
Comércio varejista de combustíveis para veículos automotores;Araçatuba;   -90
Comércio varejista de combustíveis para veículos automotores;Barretos;   -14
Comércio varejista de combustíveis para veículos automotores;Bauru;  -114
Comércio varejista de combustíveis para veículos automotores;Campinas; -1060
Comércio varejista de combustíveis para veículos automotores;Franca;   -51
Comércio varejista de combustíveis para veículos automotores;Itapeva;   -24
Comércio varejista de combustíveis para veículos automotores;Marília;  -104
Comércio varejista de combustíveis para veículos automotores;Presidente Prudente;  -192
Comércio varejista de combustíveis para veículos automotores;Região Administrativa Central;  -170
Comércio varejista de combustíveis para veículos automotores;Registro;   -28
Comércio varejista de combustíveis para veículos automotores;Ribeirão Preto;  -235
Comércio varejista de combustíveis para veículos automotores;Santos;  -131
Comércio varejista de combustíveis para veículos automotores;São José do Rio Preto;  -220
Comércio varejista de combustíveis para veículos automotores;São José dos Campos;  -358
Comércio varejista de combustíveis para veículos automotores;São Paulo; -2200
Comércio varejista de combustíveis para veículos automotores;Sorocaba;  -314
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Araçatuba;   -94
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Barretos;   -37
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Bauru;   -77
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Campinas;  -628
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Franca;   -48
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Itapeva;   -17
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Marília;   -85
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Presidente Prudente;   -56
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Região Administrativa Central;  -101
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Registro;   -17
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Ribeirão Preto;  -161
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Santos;  -179
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;São José do Rio Preto;  -159
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;São José dos Campos;  -206
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;São Paulo; -2066
Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal;Sorocaba;  -207
Comércio varejista de discos, CDs, DVDs e fitas;Araçatuba;     0
Comércio varejista de discos, CDs, DVDs e fitas;Barretos;    -2
Comércio varejista de discos, CDs, DVDs e fitas;Campinas;    -4
Comércio varejista de discos, CDs, DVDs e fitas;Franca;    -1
Comércio varejista de discos, CDs, DVDs e fitas;Marília;     0
Comércio varejista de discos, CDs, DVDs e fitas;Presidente Prudente;     1
Comércio varejista de discos, CDs, DVDs e fitas;Ribeirão Preto;     0
Comércio varejista de discos, CDs, DVDs e fitas;São José do Rio Preto;    -4
Comércio varejista de discos, CDs, DVDs e fitas;São José dos Campos;     0
Comércio varejista de discos, CDs, DVDs e fitas;São Paulo;    -1
Comércio varejista de discos, CDs, DVDs e fitas;Sorocaba;     0
Comércio varejista de ferragens, madeira e materiais de construção;Araçatuba;  -110
Comércio varejista de ferragens, madeira e materiais de construção;Barretos;     3
Comércio varejista de ferragens, madeira e materiais de construção;Bauru;   -60
Comércio varejista de ferragens, madeira e materiais de construção;Campinas;  -948
Comércio varejista de ferragens, madeira e materiais de construção;Franca;  -160
Comércio varejista de ferragens, madeira e materiais de construção;Itapeva;   -22
Comércio varejista de ferragens, madeira e materiais de construção;Marília;   -94
Comércio varejista de ferragens, madeira e materiais de construção;Presidente Prudente;   -84
Comércio varejista de ferragens, madeira e materiais de construção;Região Administrativa Central;   -52
Comércio varejista de ferragens, madeira e materiais de construção;Registro;   -26
Comércio varejista de ferragens, madeira e materiais de construção;Ribeirão Preto;    -4
Comércio varejista de ferragens, madeira e materiais de construção;Santos;  -293
Comércio varejista de ferragens, madeira e materiais de construção;São José do Rio Preto;  -176
Comércio varejista de ferragens, madeira e materiais de construção;São José dos Campos;  -284
Comércio varejista de ferragens, madeira e materiais de construção;São Paulo; -2871
Comércio varejista de ferragens, madeira e materiais de construção;Sorocaba;  -225
Comércio varejista de gás liqüefeito de petróleo (GLP);Araçatuba;     3
Comércio varejista de gás liqüefeito de petróleo (GLP);Barretos;    -3
Comércio varejista de gás liqüefeito de petróleo (GLP);Bauru;    -8
Comércio varejista de gás liqüefeito de petróleo (GLP);Campinas;   -10
Comércio varejista de gás liqüefeito de petróleo (GLP);Franca;    -2
Comércio varejista de gás liqüefeito de petróleo (GLP);Itapeva;     1
Comércio varejista de gás liqüefeito de petróleo (GLP);Marília;    -5
Comércio varejista de gás liqüefeito de petróleo (GLP);Presidente Prudente;    -3
Comércio varejista de gás liqüefeito de petróleo (GLP);Região Administrativa Central;   -12
Comércio varejista de gás liqüefeito de petróleo (GLP);Registro;    -5
Comércio varejista de gás liqüefeito de petróleo (GLP);Ribeirão Preto;     8
Comércio varejista de gás liqüefeito de petróleo (GLP);Santos;    -5
Comércio varejista de gás liqüefeito de petróleo (GLP);São José do Rio Preto;   -25
Comércio varejista de gás liqüefeito de petróleo (GLP);São José dos Campos;    -6
Comércio varejista de gás liqüefeito de petróleo (GLP);São Paulo;  -116
Comércio varejista de gás liqüefeito de petróleo (GLP);Sorocaba;   -13
Comércio varejista de hortifrutigranjeiros;Araçatuba;    -5
Comércio varejista de hortifrutigranjeiros;Barretos;    -3
Comércio varejista de hortifrutigranjeiros;Bauru;     1
Comércio varejista de hortifrutigranjeiros;Campinas;   134
Comércio varejista de hortifrutigranjeiros;Franca;     4
Comércio varejista de hortifrutigranjeiros;Itapeva;    -6
Comércio varejista de hortifrutigranjeiros;Marília;    -2
Comércio varejista de hortifrutigranjeiros;Presidente Prudente;     1
Comércio varejista de hortifrutigranjeiros;Região Administrativa Central;   -13
Comércio varejista de hortifrutigranjeiros;Registro;     1
Comércio varejista de hortifrutigranjeiros;Ribeirão Preto;     5
Comércio varejista de hortifrutigranjeiros;Santos;     8
Comércio varejista de hortifrutigranjeiros;São José do Rio Preto;    12
Comércio varejista de hortifrutigranjeiros;São José dos Campos;   -57
Comércio varejista de hortifrutigranjeiros;São Paulo;    78
Comércio varejista de hortifrutigranjeiros;Sorocaba;     5
Comércio varejista de jóias e relógios;Araçatuba;    -4
Comércio varejista de jóias e relógios;Barretos;    -6
Comércio varejista de jóias e relógios;Bauru;   -17
Comércio varejista de jóias e relógios;Campinas;  -185
Comércio varejista de jóias e relógios;Franca;     7
Comércio varejista de jóias e relógios;Itapeva;    -7
Comércio varejista de jóias e relógios;Marília;   -18
Comércio varejista de jóias e relógios;Presidente Prudente;   -25
Comércio varejista de jóias e relógios;Região Administrativa Central;   -37
Comércio varejista de jóias e relógios;Registro;     1
Comércio varejista de jóias e relógios;Ribeirão Preto;   -35
Comércio varejista de jóias e relógios;Santos;   -42
Comércio varejista de jóias e relógios;São José do Rio Preto;   -43
Comércio varejista de jóias e relógios;São José dos Campos;   -72
Comércio varejista de jóias e relógios;São Paulo;  -693
Comércio varejista de jóias e relógios;Sorocaba;   -56
Comércio varejista de livros, jornais, revistas e papelaria;Araçatuba;  -166
Comércio varejista de livros, jornais, revistas e papelaria;Barretos;   -14
Comércio varejista de livros, jornais, revistas e papelaria;Bauru;  -107
Comércio varejista de livros, jornais, revistas e papelaria;Campinas;  -439
Comércio varejista de livros, jornais, revistas e papelaria;Franca;   -41
Comércio varejista de livros, jornais, revistas e papelaria;Itapeva;     1
Comércio varejista de livros, jornais, revistas e papelaria;Marília;   -14
Comércio varejista de livros, jornais, revistas e papelaria;Presidente Prudente;   -40
Comércio varejista de livros, jornais, revistas e papelaria;Região Administrativa Central;   -52
Comércio varejista de livros, jornais, revistas e papelaria;Registro;    -9
Comércio varejista de livros, jornais, revistas e papelaria;Ribeirão Preto;   -82
Comércio varejista de livros, jornais, revistas e papelaria;Santos;   -60
Comércio varejista de livros, jornais, revistas e papelaria;São José do Rio Preto;   -65
Comércio varejista de livros, jornais, revistas e papelaria;São José dos Campos;  -166
Comércio varejista de livros, jornais, revistas e papelaria;São Paulo; -1352
Comércio varejista de livros, jornais, revistas e papelaria;Sorocaba;   -54
Comércio varejista de lubrificantes;Araçatuba;    -1
Comércio varejista de lubrificantes;Barretos;    -2
Comércio varejista de lubrificantes;Bauru;   -25
Comércio varejista de lubrificantes;Campinas;   -13
Comércio varejista de lubrificantes;Franca;    -4
Comércio varejista de lubrificantes;Itapeva;     3
Comércio varejista de lubrificantes;Marília;     8
Comércio varejista de lubrificantes;Presidente Prudente;     5
Comércio varejista de lubrificantes;Região Administrativa Central;    -3
Comércio varejista de lubrificantes;Registro;     1
Comércio varejista de lubrificantes;Ribeirão Preto;    -6
Comércio varejista de lubrificantes;Santos;     0
Comércio varejista de lubrificantes;São José do Rio Preto;    -4
Comércio varejista de lubrificantes;São José dos Campos;   -17
Comércio varejista de lubrificantes;São Paulo;   -27
Comércio varejista de lubrificantes;Sorocaba;    -3
Comércio varejista de material elétrico;Araçatuba;    -8
Comércio varejista de material elétrico;Barretos;     0
Comércio varejista de material elétrico;Bauru;   -26
Comércio varejista de material elétrico;Campinas;   -47
Comércio varejista de material elétrico;Franca;   -10
Comércio varejista de material elétrico;Itapeva;   -18
Comércio varejista de material elétrico;Marília;     3
Comércio varejista de material elétrico;Presidente Prudente;    11
Comércio varejista de material elétrico;Região Administrativa Central;    -9
Comércio varejista de material elétrico;Registro;    -2
Comércio varejista de material elétrico;Ribeirão Preto;    31
Comércio varejista de material elétrico;Santos;   -55
Comércio varejista de material elétrico;São José do Rio Preto;    45
Comércio varejista de material elétrico;São José dos Campos;   -30
Comércio varejista de material elétrico;São Paulo;  -423
Comércio varejista de material elétrico;Sorocaba;   -44
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Araçatuba;   187
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Barretos;    24
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Bauru;   -78
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Campinas;  -555
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Franca;    21
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Itapeva;  -136
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Marília;  -291
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Presidente Prudente;  -354
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Região Administrativa Central;  -230
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Registro;   -25
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Ribeirão Preto;   -41
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Santos;  -518
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;São José do Rio Preto;   337
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;São José dos Campos;  -626
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;São Paulo;   369
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados;Sorocaba;  -302
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Araçatuba;   -44
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Barretos;   -26
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Bauru;    21
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Campinas;  -110
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Franca;   -38
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Itapeva;   -32
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Marília;    31
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Presidente Prudente;    -9
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Região Administrativa Central;   -34
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Registro;   -11
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Ribeirão Preto;   -56
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Santos;  -188
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;São José do Rio Preto;    -9
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;São José dos Campos;   -34
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;São Paulo;  -221
Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns;Sorocaba;   -78
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Araçatuba;   -54
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Barretos;   -51
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Bauru;  -130
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Campinas;  -845
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Franca;   -43
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Itapeva;   -84
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Marília;   -54
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Presidente Prudente;   -99
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Região Administrativa Central;  -119
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Registro;    -4
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Ribeirão Preto;  -133
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Santos;  -212
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;São José do Rio Preto;  -147
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;São José dos Campos;  -336
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;São Paulo; -2523
Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios;Sorocaba;  -173
Comércio varejista de outros produtos novos não especificados anteriormente;Araçatuba;   -89
Comércio varejista de outros produtos novos não especificados anteriormente;Barretos;   -35
Comércio varejista de outros produtos novos não especificados anteriormente;Bauru;  -134
Comércio varejista de outros produtos novos não especificados anteriormente;Campinas; -1015
Comércio varejista de outros produtos novos não especificados anteriormente;Franca;  -223
Comércio varejista de outros produtos novos não especificados anteriormente;Itapeva;     9
Comércio varejista de outros produtos novos não especificados anteriormente;Marília;  -114
Comércio varejista de outros produtos novos não especificados anteriormente;Presidente Prudente;   -61
Comércio varejista de outros produtos novos não especificados anteriormente;Região Administrativa Central;  -157
Comércio varejista de outros produtos novos não especificados anteriormente;Registro;   -43
Comércio varejista de outros produtos novos não especificados anteriormente;Ribeirão Preto;  -253
Comércio varejista de outros produtos novos não especificados anteriormente;Santos;  -322
Comércio varejista de outros produtos novos não especificados anteriormente;São José do Rio Preto;  -190
Comércio varejista de outros produtos novos não especificados anteriormente;São José dos Campos;  -556
Comércio varejista de outros produtos novos não especificados anteriormente;São Paulo; -4104
Comércio varejista de outros produtos novos não especificados anteriormente;Sorocaba;  -359
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Araçatuba;   -22
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Barretos;   -54
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Bauru;   -83
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Campinas;  -493
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Franca;   -93
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Itapeva;   -43
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Marília;   -21
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Presidente Prudente;   -26
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Região Administrativa Central;   -51
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Registro;     5
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Ribeirão Preto;   -90
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Santos;  -126
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";São José do Rio Preto;   -73
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";São José dos Campos;  -248
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";São Paulo; -1851
"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo";Sorocaba;  -159
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Araçatuba;   -30
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Barretos;    -7
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Bauru;   -46
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Campinas;  -850
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Franca;   -81
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Itapeva;   -24
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Marília;   -79
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Presidente Prudente;   -40
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Região Administrativa Central;   -93
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Registro;   -17
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Ribeirão Preto;  -135
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Santos;  -361
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;São José do Rio Preto;  -100
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;São José dos Campos;  -537
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;São Paulo; -4626
Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes;Sorocaba;  -175
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Araçatuba;   -19
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Barretos;     6
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Bauru;     4
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Campinas;    90
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Franca;   -12
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Itapeva;   -40
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Marília;     9
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Presidente Prudente;     7
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Região Administrativa Central;   -32
Comércio varejista de produtos farmacêuticos para uso humano e veterinário;Registro;   -32
